profile,overall_score,individual_scores,forwards_count,success_rate,fee_per_forward,total_fees,avg_outbound_ratio,performance_index,recommendation
routing_hub,90.76,"{'success_rate': 23.24, 'forwards_count': 20.0, 'fee_efficiency': 11.27, 'liquidity_balance': 15.0, 'centrality': 10.0, 'stability': 9.0, 'channel_count': 2.25}",1041,92.94,751.57,782389,50.0,411.134,EXCELLENT: Performance optimale - Maintenir configuration
star,83.53,"{'success_rate': 24.13, 'forwards_count': 10.14, 'fee_efficiency': 13.97, 'liquidity_balance': 15.0, 'centrality': 9.05, 'stability': 9.0, 'channel_count': 2.25}",507,96.51,931.26,472150,50.0,257.6398,BON: Performance satisfaisante - Optimisations mineures possibles
aggressive_fees,66.76,"{'success_rate': 19.13, 'forwards_count': 2.58, 'fee_efficiency': 15.0, 'liquidity_balance': 15.0, 'centrality': 3.8, 'stability': 9.0, 'channel_count': 2.25}",129,76.51,1727.04,222788,50.0,96.3748,ATTENTION: Taux de succès faible malgré l'activité - Réviser la politique tarifaire
normal,66.68,"{'success_rate': 22.77, 'forwards_count': 2.76, 'fee_efficiency': 10.28, 'liquidity_balance': 15.0, 'centrality': 4.62, 'stability': 9.0, 'channel_count': 2.25}",138,91.09,685.3,94571,50.0,48.7054,NORMAL: Performance dans la moyenne - Améliorations possibles
unstable,60.88,"{'success_rate': 21.32, 'forwards_count': 1.94, 'fee_efficiency': 9.57, 'liquidity_balance': 12.0, 'centrality': 4.8, 'stability': 9.0, 'channel_count': 2.25}",97,85.28,637.77,61864,60.0,29.8281,NORMAL: Performance dans la moyenne - Améliorations possibles
saturated,58.43,"{'success_rate': 16.65, 'forwards_count': 6.36, 'fee_efficiency': 15.0, 'liquidity_balance': 1.67, 'centrality': 7.51, 'stability': 9.0, 'channel_count': 2.25}",318,66.59,1104.31,351169,94.44,132.2192,ATTENTION: Taux de succès faible malgré l'activité - Réviser la politique tarifaire
experimental,54.39,"{'success_rate': 10.65, 'forwards_count': 3.28, 'fee_efficiency': 15.0, 'liquidity_balance': 12.08, 'centrality': 2.13, 'stability': 9.0, 'channel_count': 2.25}",164,42.61,1372.69,225121,59.72,54.2334,CRITIQUE: Rééquilibrer les canaux immédiatement et ajuster les frais
inactive,53.43,"{'success_rate': 22.43, 'forwards_count': 0.42, 'fee_efficiency': 2.49, 'liquidity_balance': 15.0, 'centrality': 1.85, 'stability': 9.0, 'channel_count': 2.25}",21,89.71,165.76,3481,50.0,1.7655,NORMAL: Performance dans la moyenne - Améliorations possibles
abused,42.57,"{'success_rate': 15.28, 'forwards_count': 5.18, 'fee_efficiency': 3.06, 'liquidity_balance': 3.83, 'centrality': 3.96, 'stability': 9.0, 'channel_count': 2.25}",259,61.12,204.27,52905,12.77,18.2816,ATTENTION: Taux de succès faible malgré l'activité - Réviser la politique tarifaire
dead_node,33.31,"{'success_rate': 4.93, 'forwards_count': 0.08, 'fee_efficiency': 1.05, 'liquidity_balance': 15.0, 'centrality': 1.0, 'stability': 9.0, 'channel_count': 2.25}",4,19.71,70.0,280,50.0,0.0312,CRITIQUE: Rééquilibrer les canaux immédiatement et ajuster les frais
