profile,overall_score,individual_scores,forwards_count,success_rate,fee_per_forward,total_fees,avg_outbound_ratio,performance_index,recommendation
routing_hub,90.57,"{'success_rate': 22.87, 'forwards_count': 20.0, 'fee_efficiency': 11.48, 'liquidity_balance': 15.0, 'centrality': 9.97, 'stability': 9.0, 'channel_count': 2.25}",1073,91.49,765.02,820869,50.0,424.5974,EXCELLENT: Performance optimale - Maintenir configuration
star,84.46,"{'success_rate': 25.0, 'forwards_count': 10.84, 'fee_efficiency': 13.07, 'liquidity_balance': 15.0, 'centrality': 9.3, 'stability': 9.0, 'channel_count': 2.25}",542,100.0,871.57,472393,50.0,267.0815,BON: Performance satisfaisante - Optimisations mineures possibles
aggressive_fees,68.74,"{'success_rate': 20.86, 'forwards_count': 2.58, 'fee_efficiency': 15.0, 'liquidity_balance': 15.0, 'centrality': 4.05, 'stability': 9.0, 'channel_count': 2.25}",129,83.43,1771.33,228502,50.0,107.7805,NORMAL: Performance dans la moyenne - Améliorations possibles
normal,66.03,"{'success_rate': 23.25, 'forwards_count': 3.26, 'fee_efficiency': 8.63, 'liquidity_balance': 15.0, 'centrality': 4.64, 'stability': 9.0, 'channel_count': 2.25}",163,92.98,575.4,93790,50.0,49.3069,NORMAL: Performance dans la moyenne - Améliorations possibles
unstable,63.17,"{'success_rate': 21.4, 'forwards_count': 1.98, 'fee_efficiency': 11.73, 'liquidity_balance': 12.0, 'centrality': 4.8, 'stability': 9.0, 'channel_count': 2.25}",99,85.61,782.01,77419,60.0,37.4708,NORMAL: Performance dans la moyenne - Améliorations possibles
saturated,58.85,"{'success_rate': 17.68, 'forwards_count': 5.64, 'fee_efficiency': 15.0, 'liquidity_balance': 1.67, 'centrality': 7.62, 'stability': 9.0, 'channel_count': 2.25}",282,70.72,1136.46,320483,94.44,128.1336,ATTENTION: Taux de succès faible malgré l'activité - Réviser la politique tarifaire
inactive,53.13,"{'success_rate': 21.53, 'forwards_count': 0.36, 'fee_efficiency': 2.9, 'liquidity_balance': 15.0, 'centrality': 2.09, 'stability': 9.0, 'channel_count': 2.25}",18,86.11,193.56,3484,50.0,1.6961,ATTENTION: Activité très faible - Vérifier connectivité ou frais trop élevés
experimental,50.08,"{'success_rate': 8.4, 'forwards_count': 2.92, 'fee_efficiency': 15.0, 'liquidity_balance': 10.04, 'centrality': 2.47, 'stability': 9.0, 'channel_count': 2.25}",146,33.61,1082.26,158010,66.53,30.0251,CRITIQUE: Rééquilibrer les canaux immédiatement et ajuster les frais
abused,41.9,"{'success_rate': 15.13, 'forwards_count': 4.6, 'fee_efficiency': 3.38, 'liquidity_balance': 3.3, 'centrality': 4.23, 'stability': 9.0, 'channel_count': 2.25}",230,60.54,225.51,51867,11.01,17.7518,ATTENTION: Taux de succès faible malgré l'activité - Réviser la politique tarifaire
dead_node,33.18,"{'success_rate': 5.11, 'forwards_count': 0.08, 'fee_efficiency': 0.74, 'liquidity_balance': 15.0, 'centrality': 1.0, 'stability': 9.0, 'channel_count': 2.25}",4,20.43,49.5,198,50.0,0.0229,CRITIQUE: Rééquilibrer les canaux immédiatement et ajuster les frais
